Company,Website,Batch,Vertical,TeamSize,Hiring,OneLiner
Decoda Health,https://decodahealth.com/,Summer 2023,AI,15,yes,The all-in-one EMR built for med spas and elective care
Bretton AI,https://www.bretton.com/,Summer 2023,AI,34,yes,AI-native operations for the banks
Sola,https://www.sola-solutions.com/,Summer 2023,AI,5,yes,Copilot for Robotic Process Automation
VectorShift,https://www.vectorshift.ai,Summer 2023,AI,30,yes,AI Operating System for Private Market Investors
Silimate,https://www.silimate.com,Summer 2023,AI/DevTools,8,yes,"Fast, efficient agents for chip design and debug"
Sweep,https://sweep.dev/,Summer 2023,AI/DevTools,4,yes,The best AI coding assistant for JetBrains
Langdock,https://langdock.com,Summer 2023,AI,55,yes,The all-in-one AI platform for companies.
Quill Bills,https://quillbills.com,Summer 2023,AI,3,yes,AI-Powered Medical Billing
Cair Health,https://www.cairhealth.com/,Summer 2023,AI,6,yes,AI Agents for Healthcare RCM
Roame,https://roame.travel/,Summer 2023,AI,2,yes,Flight search engine using credit card points and miles
Giga,https://giga.ai/,Summer 2023,AI,30,yes,AI Support Agent for Enterprises.
Simbie AI,http://www.simbie.ai,Summer 2023,AI,5,yes,We get patients to their next appointment
Nowadays,http://nowadays.ai/,Summer 2023,AI,6,yes,AI-native platform for corporate meetings and events
Morph,https://morphllm.com,Summer 2023,AI/DevTools,3,yes,Fast Models Optimized for Coding Agents
truemetrics,https://www.truemetrics.io/,Summer 2023,AI,5,yes,We show couriers where to park and enter a building.
Tempo,https://www.tempo.new,Summer 2023,AI/DevTools,8,yes,"Visual Editor for React, powered by AI"
Orbio Earth,https://www.orbio.earth/,Summer 2023,AI,6,yes,Tracking methane emissions with satellites
222,https://222.place,Winter 2023,ML,23,yes,the AI social facilitator for offline human to human interactions
Diffuse Bio,http://diffuse.bio,Winter 2023,ML,10,yes,Generative AI for protein design
Subsets,https://www.subsets.com,Summer 2023,ML,7,yes,AI-driven Retention Automation for subscription media businesses.
Numen,https://www.numen.com,Summer 2023,ML,18,yes,Engineering a future without cancer deaths.
Empirical Health,https://empirical.health,Summer 2023,ML,4,yes,Don't die of heart disease. Empirical is the first AI-native heart…
Guac,https://www.guac.com/,Summer 2023,ML,7,yes,AI-powered forecasting & replenishment for grocery
Rimward,https://rimward.ai/,Summer 2023,ML,1,yes,Low-false-positive intrusion detection for remote outdoor sites
Andromeda Surgical,http://www.andromedasurgical.com,Summer 2023,ML,12,yes,Autonomous surgical robots
Infisical,https://infisical.com,Winter 2023,DevTools,50,yes,"Unified platform for secrets, certs, and privileged access management"
Designbase,https://www.designbase.com/,Winter 2023,DevTools,3,yes,Design and build great interfaces
Nango,https://nango.dev,Winter 2023,DevTools,6,yes,A single API for all your integrations
Omnistrate,http://www.omnistrate.com,Winter 2023,DevTools,15,yes,Transform any software to multi-cloud SaaS in minutes not years
Inkeep,https://inkeep.com,Winter 2023,DevTools,18,yes,Build AI Agent teammates and automations in code or no-code
IcePanel,https://icepanel.io,Winter 2023,DevTools,9,yes,Design and explain complex software architecture.
Escape,https://escape.tech,Winter 2023,DevTools,29,yes,Offensive security for the teams that are 100x outnumbered
Artie,https://www.artie.com/,Summer 2023,DevTools,16,yes,Software that streams data from databases to warehouses in real-time
Cedana,https://cedana.ai,Summer 2023,DevTools,5,yes,"Fast, reliable, reproducible AI with GPU live migration"
Terminal,https://www.withterminal.com/,Summer 2023,DevTools,17,yes,Plaid for Telematics Data in Commercial Trucking
Corgea,https://www.corgea.com/,Summer 2023,DevTools,6,yes,"Corgea finds, and fixes insecure code and packages autonomously. "
ParadeDB,https://paradedb.com,Summer 2023,DevTools,11,yes,"Unify application data, vectors, and full-text search in one Postgres"
Baud,https://baudlabs.ai,Summer 2026,AI,3,,AI chips for ultra-fast training and inference
Agentic Fabriq,https://www.agenticfabriq.com,Winter 2026,AI,2,,The control plane for AI agents.
FinalDose,https://finaldose.ai/,Spring 2026,AI,5,,"Programmable DNA drug destroying all cancers, unlocking 80% of targets"
Frontier Computing,https://frontier.site,Summer 2026,AI,1,,Frontier grows scalable biological brains as an ML training substrate
Ndea,https://ndea.com,Winter 2026,AI,15,,Building AGI that can innovate.
Linzumi,https://linzumi.com,Spring 2026,AI/DevTools,3,,Team chat to command all your company's coding agents
OneTriangle,https://onetriangle.ai/,Summer 2026,AI,4,,"The cheapest, fastest lightweight inference. "
Imperfect,https://imperfect.co,Spring 2026,AI,4,,"Adaptive training coach for runners, cyclists, and triathletes "
Ashr,https://ashr.io,Winter 2026,AI,2,,"Enterprise post-training, monitoring, and continual learning platform"
Rapidfolio,https://rapidfolio.com/,Summer 2026,AI,,,AI-native back-office for banks and fintechs
IncidentFox,https://incidentfox.ai,Winter 2026,AI/DevTools,2,,"AI SRE agent that triages, coordinates, and fixes production incidents"
Instinct,https://instinct.xyz,Winter 2026,AI/ML,5,,Trade your instinct
Visibl Semiconductors,https://visiblsemi.com,Winter 2026,AI,3,,Custom silicon for power electronics
Assemble,https://www.assemble.ai/,Summer 2026,AI,4,,Autonomous IT Delivery
Archal,https://www.archal.ai/,Summer 2026,AI/DevTools,2,,"API sandboxes, built for AI agents"
Voxel Energy,https://voxelenergy.com/,Winter 2026,AI,3,,Energy independent data centers with solar and repurposed batteries. 
Datoric,https://www.datoric.com,Summer 2026,AI/ML,2,,The secure training data R&D engine for physical AI
Foreman,https://foreman.co,Winter 2026,AI,2,,"Keeping contractors on the job site, not behind a desk."
Turnstone,https://myturnstone.ai,Winter 2026,AI,2,,Work with agents that already know you
Atlia,https://www.atlia.com,Summer 2026,AI,2,,The AI-native property management company for short-term rentals
Talking Computers,https://talkingcomputers.ai,Winter 2026,AI,2,,Real-time interaction models for voice agents
Veriad,https://veriad.com,Winter 2026,AI,2,,Enterprise marketing agents
Poth Labs,https://pothlabs.com,Summer 2026,AI,2,,The customer brain that connects data to explain customer behavior
